gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
893484679	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B600053947	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Pseudocyphellaria	Pseudocyphellaria skottsbergii		SPECIES	Pseudocyphellaria skottsbergii D.Galloway	Pseudocyphellaria skottsbergii		CL	Chile: Juan Fernandez Islands, Masatierra (Robinson Crusoe Island): Cordon right of Yunque, 500 m. On soil in forest. 3 Feb. 1955, Leg.: G. Kunkel 312b/7.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862	-33.63334	-78.83334							1955-02-03	3	2	1955	3420791	3420791	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 60 0053947	312b/7			CC0_1_0		Kunkel,G.			2024-01-25T10:15:04.857Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
893484663	85714c48-f762-11e1-a439-00145eb45e9a	https://herbarium.bgbm.org/object/B600053948	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Pseudocyphellaria	Pseudocyphellaria skottsbergii		SPECIES	Pseudocyphellaria skottsbergii D.Galloway	Pseudocyphellaria skottsbergii		CL	Chile: Juan Fernandez Islands, Masatierra (Robinson Crusoe Island): Cordon right of Yunque, 500 m. On soil in forest. 3 Feb. 1955, Leg.: G. Kunkel 312b/8.2.		PRESENT		57254bd0-8256-11d8-b7ed-b8a03c50a862	-33.63334	-78.83334							1955-02-03	3	2	1955	3420791	3420791	PRESERVED_SPECIMEN	B	Herbarium Berolinense	B 60 0053948	312b/8.2			CC0_1_0		Kunkel,G.			2024-01-25T10:15:04.861Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY
788872802	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1670609	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Lecanoraceae	Polyozosia	Polyozosia dispersa		SPECIES	Myriolecis dispersa (Pers.) Śliwa, Zhao Xin & Lumbsch	Myriolecis dispersa		CL	No locality information available	Archipiélago Juan Fernández	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	-33.768333	-80.791944							1916-02-24	24	2	1916	9460591	10883842	PRESERVED_SPECIMEN	LD	General	1670609				CC_BY_NC_4_0		Carl & Inga Skottsberg			2024-05-19T02:02:36.638Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788858930	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1646113	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Platismatia	Platismatia glauca		SPECIES	Platismatia glauca (L.) W.L.Culb. & C.F.Culb.	Platismatia glauca		CL	E of Victoria, en route to P.N. Conguillío	Araucanía	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	-38.270278	-72.246944							2001-01-20	20	1	2001	2605342	2605342	PRESERVED_SPECIMEN	LD	General	1646113				CC_BY_NC_4_0		Patrik Frödén			2024-05-19T02:02:36.934Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788858563	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1645537	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Platismatia	Platismatia glauca		SPECIES	Platismatia glauca (L.) W.L.Culb. & C.F.Culb.	Platismatia glauca		CL	Puente Picaflor	Aisén	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	-44.965833	-72.173889							2001-01-16	16	1	2001	2605342	2605342	PRESERVED_SPECIMEN	LD	General	1645537				CC_BY_NC_4_0		Patrik Frödén			2024-05-19T02:02:35.896Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788856130	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1641569	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea aureola		SPECIES	Usnea aureola	Usnea aureola		CL	Angol	Araucanía	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	-37.8	-72.716667							1963-12		12	1963	3410323	3410323	PRESERVED_SPECIMEN	LD	General	1641569				CC_BY_NC_4_0		I.-A. Follmann-Schrag			2024-05-19T02:02:36.815Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788856053	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1641441	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Usnea	Usnea aureola		SPECIES	Usnea aureola	Usnea aureola		CL	Llico	Bío-Bío	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	-37.197222	-73.564444							1962			1962	3410323	3410323	PRESERVED_SPECIMEN	LD	General	1641441				CC_BY_NC_4_0		Gaete			2024-05-19T02:02:35.806Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788729150	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1494053	Fungi	Ascomycota	Candelariomycetes	Candelariales	Candelariaceae	Candelaria	Candelaria concolor		SPECIES	Candelaria concolor (Dicks.) Arnold	Candelaria concolor		CL	Temuco	Araucanía	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	-38.726944	-72.598889							2001-01-18	18	1	2001	8732724	8732724	PRESERVED_SPECIMEN	LD	General	1494053				CC_BY_NC_4_0		Patrik Frödén			2024-05-19T02:02:31.342Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_INVALID;CONTINENT_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788663807	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1427682	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Parmotrema	Parmotrema reticulatum		SPECIES	Parmotrema reticulatum (Taylor) M.Choisy	Parmotrema reticulatum		CL	Rano Kau	Isla de Pascua	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	-27.189167	-109.425833							1961			1961	6017788	6017788	PRESERVED_SPECIMEN	LD	General	1427682				CC_BY_NC_4_0		Gerhard Follmann			2024-05-19T02:02:30.074Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
788663747	aab0cf80-0c64-11dd-84d1-b8a03c50a862	LD:General:1427622	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Parmeliaceae	Parmotrema	Parmotrema reticulatum		SPECIES	Parmotrema reticulatum (Taylor) M.Choisy	Parmotrema reticulatum		CL	No locality information available	Isla de Pascua	PRESENT	1	c0758a16-296b-4ec3-97fd-8a057d9060f3	-27.121111	-109.366389							1917-06-16	16	6	1917	6017788	6017788	PRESERVED_SPECIMEN	LD	General	1427622				CC_BY_NC_4_0		Carl & Inga Skottsberg			2024-05-19T02:02:29.764Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
